title,name,category,material,brand,description,url,img_url,biodegradable,recyclable,low_waste,eco_packaging,low_carbon,renewable
"200 Pack 8x4.75x10 Inch Medium Brown Paper Bags with Handles Bulk, Joybe Kraft Paper Gift Bags for Birthday Party Favors Grocery Retail Shopping Business Goody Craft Blank Sacks (Plain Natural 200pcs)",Gift Bags,Health & Household,Paper,Joybe,"Medium Size Gift Bags: These kraft paper bags measure 8 inches in length, 4.75 inches in width, and 10 inches in height. They are highly suitable for various occasions such as Valentine's Day gifts, shopping trips, holiday presents, party favors, retail packaging, merchandise storage, and wedding welcome bags. > Rugged & Durable: Crafted from sturdy 110g kraft paper material, these gift bags possess exceptional durability and can withstand a weight of up to 6 pounds. This ensures they meet the demands of your daily life activities. > Eco-friendly Paper Bags: Made entirely from recycled paper materials that are biodegradable and recyclable without emitting any unpleasant odors. Additionally, their appearance exudes elegance when used as gift bags. > Unleash Your Creativity: The gift paper bag is blank. You have the freedom to add your desired logo or patterns through DIY customization. Unleash your imagination and creativity to make them truly unique. > Shopping Worry-free: If you encounter any issues with our gift bags or if you're not completely happy with your purchase experience for any reason whatsoever, please feel free to email us so we can promptly resolve it for you.",https://www.amazon.com/dp/B0CJF5XL35,https://m.media-amazon.com/images/I/715Rw-2on5L.__AC_SX300_SY300_QL70_ML2_.jpg,1,1,0,0,0,0
Warhol Santa & Soup Cans - Reversible Holiday Wrapping Paper - Eco Gift Wrap Allport Editions x Wrappily,Gift Wrap Paper,Health & Household,Paper,Wrappily | Eco-friendly Gift Wrap Company,"Eco wrapping paper with Pop Art Christmas patterns -- Warhol Santa & Soup Cans > 3 double-sided wrapping paper sheets (21.5"" x 34"") -- reversible coordinating patterns > Printed on premium-grade newsprint with soy-based inks > 100% recyclable & compostable; Made in the USA > Perfect Christmas wrapping paper for kids, families, men, teens, friends, co-workers, art-lovers",https://www.amazon.com/dp/B07YQL5B6N,https://m.media-amazon.com/images/I/71H4Rm0ZljL.__AC_SY300_SX300_QL70_ML2_.jpg,1,1,0,0,1,0
"Merry Christmas Wrapping Paper Set, 6 Folded Sheets Green Red Kraft Xmas Wrap, Holiday Deer Trees Santa Snowman Kraft Winter Holiday New Year Gift Wrap for Women, Men, Boys, Girls",Gift Wrap Paper,Health & Household,Paper,BWLOIES,"PACKAGE CONTENT: The modern christmas wrapping paper set includes 6 sheets of neutral kraft gift wrapping paper christmas, come with 6 gift tags and 3 rolls of gift ribbon. The size of the variety christmas paper is 27.6inches x 20inches, suitable for most gifts ranging in size from small to medium. A great value package to meet your chritmas gift wrap needs > ECO-FRIENDLY WINTER WRAPPING PAPER SHEETS: The green and red xmas wrapping paper classic made of 100gsm premium kraft paper. Biodegradable and recyclable after use.These holiday wrapping papers are a way to protect our environment. you can wrap gifts quickly and efficiently with these assorted christmas wrap paper without worrying about unnecessary rips or tears > CHRISTMAS THEMED DESIGN: These holiday gift wrap christmas full of strong Christmas atmosphere,the main colors are red and green,printed with Merry Christmas,Happy New Year, Christmas tree, snowman,Santa Claus, gifts, snowflakes, Christmas stockings, candy, bells and other patterns.This papel de regalo navidad with a hand-painted and graffiti design. > WIDE RANGE OF USE: The christmas gift wrapper paper is perfect for present wrap like clothes,books,goodies,toys and so on. Not only for thick chrsitmas gift wrapping paper victorian and New Year gift wrapping paper,also good for craft projects,table coverings,wrap flowers or other DIY project. Meanwhile, these cute gift wrap xmas are suitable for anyone, women, men, boys, girls, fathers, mothers, sons, daughters, friends, neighbors, classmates, etc. > KINDLY REMINDER: The natural santa wrapping paper kit is folded into 1/4 size and sealed in bags for shipping and there will be creases,but it does not affect usage of the snowman wrapping paper",https://www.amazon.com/dp/B0DB8DDPFL,https://m.media-amazon.com/images/I/81bZMWZQTJL.__AC_SX300_SY300_QL70_ML2_.jpg,1,1,0,0,1,0
"Solid Print Holiday Gift Twisted Handles Kraft Paper Bags in Bulk, Multipurpose use, Suitable for Every Occasion, 8 X 4.25 X 10.5, White",Gift Bags,Health & Household,"Cardboard, Paper Bag",Elegant Supply,"Paper > VALUE PACK- Available in four sizes and colors, you can purchase our 5, 10, 25, 50, 100 pack or 200 pack bulk option. > ECO-FRIENDLY- Our paper bags are made from durable material, which is also recyclable, biodegradable, and compostable, and best of all, super easy to use! > MULTIFUNCTIONAL- Suitable for all occasions. Perfect for party favors, goodie bags, holiday gift bags, shopping, take out, and any other needs you may think of. > CONSTRUCTION- Sturdy and reinforced twist handles for easy carry. Heavy weight paper to reduce risk of tearing. Square bottom to allow bags to stand up on their own.",https://www.amazon.com/dp/B0BJHNFXB5,https://m.media-amazon.com/images/I/71q4Nqwm1NL.__AC_SX300_SY300_QL70_ML2_.jpg,1,1,0,1,0,0
TINYMILLS Christmas Cookies Holiday 14oz Travel Mug - Eco-Friendly Reusable Plant Fiber Travel Mug Birthday Gift Stocking Stuffer Teacher Coach Gift,Cups & Mugs,Home & Kitchen,non slip,TINYMILLS,"One 14 oz eco-friendly travel mug with festive Christmas cookies design! Each travel mug comes in giftable kraft box made of recycled materials! Perfect for teacher's gift, birthday gifts and graduation gifts! > Made of plant fibers and includes a silicon lid and non-slip sleeve. Biodegradable and eco-friendly! > Reusable spill stopping lid. Perfect for both hot and cold drinks! > Non-toxic, biodegradable, stain resistant and easy to clean! > Microwavable and dishwasher safe (please remove sleeve before microwaving)",https://www.amazon.com/dp/B09M9PN4G3,https://m.media-amazon.com/images/I/81UHvK87QwL.__AC_SY300_SX300_QL70_ML2_.jpg,1,1,0,0,0,0
"Nexmint Kraft Paper Bags 8x10. Gift Bags with Handle for Birthdays, Holidays, Gifts, Party Favors, Retail, Festivities, Treats, Business, DIY Crafts (12-Pack, Red)",Gift Bags,Health & Household,Paper,Nexmint,"DIMENSIONS - 10.5"" Tall x 8"" Wide x 4.25"" Deep Kraft paper bags with a variety of uses come in a pack of 12 > STURDINESS - Constructed from craft paper with color matching paper twist handles firmly attached to the bag, passed 16lbs weight 72 hours hanging testing > USAGE - These bags come in handy as gift bags, merchandise bags, shopping bags, favor bags, goodie bags, retail bags, Business bags, etc. and can be customized to fit any occasion. Paper twist handles allow for sturdiness and easy carrying, and the square bottom allows the bag to stand upright. > CUSTOMIZABLE -The solid color of the paper bags allows them to act as blank canvas for you to paint or embellish and are perfect for DIY crafts. You can decorate these bags as gift or party bags to add a personalized touch. > ECO-FRIENDLY - These paper bags are very environment-friendly as they are 100% recyclable and compostable, and their sturdiness allows them to be reused multiple times. The glue used is also non-toxic and eco-friendly.",https://www.amazon.com/dp/B0BGMPTHH6,https://m.media-amazon.com/images/I/61fUqvjAGTL.__AC_SX300_SY300_QL70_ML2_.jpg,1,1,0,1,0,1
"KIS Premium Natural Jute Rope 6MM (1/4 Inch 50 FT), Smell Free, Crafts, Cat Scratching, Home Decor, Biodegradable, Hemp Sisal Manila, Decoration, Camping, PET Friendly - Handmade DIY - Colorfulâ€¦",Rope,Tools & Home Improvement,KIS,KIS,"PETROLEUM FREE  Finally we achieved it! We read and analyzed all of your complaints about the natural ropes. It was SMELL. And we tryied our best for you. We are aware that natural ropes are used at homes and the heavy smell of the rope can disturbs you. Anymore, we are using best quality natural raw materials in the production of the ropes to blocking petroleum smell. Now, just smell the natural jute, nothing more! > BIODEGRADABLE  This product is made out of natural fibers which is biodegradable. Protect the environment with us. > PACKAGING - We thought of everything for you. We offer our products on plastic reel so you can store the rope on the spool after using it. Also the reels are made from recycled plastic. Save the environment while having fun with your rope. > APPLICATION  You can use this rope for general purpose, such as crafting, gardening, basket, vintage lambs, home improvement, cat scratcher, boating, home decor, homemade products, vintage furnitures, and all of your handmades. > SATISFACTION GUARANTEE  If youre not satisfied with the product you received, you can return it in 30 days, well refund your money ASAP. No questions asked!",https://www.amazon.com/dp/B0B7GQ7RZ7,https://m.media-amazon.com/images/I/61H7ZBvm77L.__AC_SY300_SX300_QL70_ML2_.jpg,1,1,0,0,1,0
"KIS Premium Quality Natural Jute Rope 12 MM (1/2"" 100 ft) Petroleum Smell Free, Natural, Biodegradable, Hemp Rope, Great for Crafting, Decoration, Camping, PET Friendly",Rope,Tools & Home Improvement,KIS,KIS,"PETROLEUM FREE Finally we achieved it! We read and analyzed all of your complaints about the natural ropes. It was SMELL. And we tryied our best for you. We are aware that natural ropes are used at homes and the heavy smell of the rope can disturbs you. Anymore, we are using best quality natural raw materials in the production of the ropes to blocking petroleum smell. Now, just smell the natural jute, nothing more! > BIODEGRADABLE “ This product is made out of natural fibers which is biodegradable. Protect the environment with us. > PACKAGING - We thought of everything for you. We offer our products on plastic reel so you can store the rope on the spool after using it. Also the reels are made from recycled plastic. Save the environment while having fun with your rope. > APPLICATIONYou can use this rope for general purpose, such as crafting, gardening, basket, vintage lambs, home improvement, cat scratcher, boating, home decor, homemade products, vintage furnitures, and all of your handmades. > SATISFACTION GUARANTEE If youre not satisfied with the product you received, you can return it in 30 days, well refund your money ASAP. No questions asked!",https://www.amazon.com/dp/B08DRLPJNK,https://m.media-amazon.com/images/I/81oJsR7HQFL.__AC_SY300_SX300_QL70_ML2_.jpg,1,1,0,0,1,0
"Reel Premium Toilet Paper - 24 Rolls of Toilet Paper - 3-Ply Made From Tree-Free - Zero Plastic Packaging, Septic Safe",Toilet Paper,Health & Household,Paper,REEL,"Premium Bamboo Toilet Paper: Were all connected- by earth, by the way we treat each other, and by the world we leave behind for the next generation. Reel Toilet Paper is made of 100% bamboo, making it the most sustainable, eco-friendly toilet paper on the market. Thats how we roll, your bum will love it. Includes 24 rolls per box. > Tree-Free 3 Ply: Reel Bamboo Toilet Paper is ultra-soft and strong, so you dont have to sacrifice quality for sustainability. Individually wrapped rolls and shipping materials are biodegradable, recyclable, and we use plastic-free packaging. Even the tape! No trees harmed in the making, so youll love the roll and the wrap. > Reduce Your Carbon Footprint: Reel helps promote the use of earth-friendly, sustainable paper products. By purchasing Reel, you are supporting our mission to provide access to clean toilets to those in need around the world while also giving American households a way to reduce their carbon footprint. Do good, feel good. > Made Sustainably: Reel Bamboo Toilet Paper is tree-free, fragrance-free, chlorine-free, and uses zero plastic. No inks or dyes used. Good for you and the environment. > Our Story Is Your Story: Here at Reel, were more than just a paper company. Were a team of like-minded, big-hearted individuals who have a distinct vision for the future. Our vision is shaped by the challenges we see others facing here in the U.S and around the world. Challenges like climate change, lack of sufficient resources, food deserts, and an absolute need for us all to take better care of the planet and each other.",https://www.amazon.com/dp/B088T79ZCS,https://m.media-amazon.com/images/I/71tU+xuyJmL._AC_SY300_SX300_.jpg,1,1,0,1,1,1
"Bamboo Toilet Paper -24 Rolls Of Septic Safe Organic Toilet Paper 3-ply, 300 Sheets Per Roll - PFAs Free, FSC Certified, Plastic & Chemical Free - For Home, Boat & RV Use",Toilet Paper,Health & Household,Paper,SAVE TREES,"Feel Good about Going - With Save Trees bamboo toilet paper, you can feel good about your impact on the environment. Our sustainable and organic toilet paper is made from responsibly sourced bamboo and packaged in post-consumer recycled materials. Plus, with our carbon offsetting and FSC certification (FSC C041262), you can feel even better about your purchase! > Cushy Tushy - Treat your tushy to the ultimate luxury with Save Trees ultra-soft 3 ply toilet paper. Our non toxic toilet paper is designed to provide a soft, plush feel while still remaining strong and durable. Plus, our 300 sheet jumbo rolls mean you'll always have a supply on hand! > Say Goodbye to Harsh Chemicals - Save Trees bamboo toilet paper is unbleached, PFAS free, and does;t contain any harsh chemicals or chlorine, making it a healthier choice for you and your family. Because it's biodegradable, our RV toilet paper is septic safe, so you can use our products in your camper or boat, too! > Stock Up and Save - With Save Trees bulk pack options, you can stock up and save money in the process. Our jumbo rolls provide 300 sheets per roll, so you'll always have a supply on hand. Plus, with our sustainable design, you can feel good about your impact on the environment. > Organic and Biodegradable Toilet Paper - Our toilet paper is FSC certified (FSC C041262) and made with responsibly sourced organic bamboo. Our natural plant paper toilet paper comes in completely plastic-free individually wrapped packaging and we use carbon-neutral shipping to reduce our footprint, so you can feel confident in your eco choice.",https://www.amazon.com/dp/B09R2BX9FY,https://m.media-amazon.com/images/I/812qXtsKc6L.__AC_SX300_SY300_QL70_ML2_.jpg,1,1,0,0,1,1
